Pgene | Gene | PMID | Abstract
RAF1P1 | QDPR | PMID: 8096345 | Fifty-seven polymorphisms, representing 42 loci, were analyzed in the Venezuelan reference pedigree. The markers included seven genes (ADRA2C, ALB, GABRB1, GC, HOX7, IDUA, QDPR), one pseudogene (RAF1P1), and 34 anonymous DNA loci. Four loci were represented by microsatellite polymorphisms and one (GC) was expressed as a protein polymorphism.


HLA-H | HLA-A | PMID: 1362179 | This originally manifested itself as a haplotype-associated size variation in the NotI and MluI megabase fragments observed on pulsed-field electrophoresis gels after blotting and probing with HLA-A subregion-specific genomic probes. The contracted region falls between the HLA-A and the HLA-G class I genes and specifically includes the novel HLA-A-related pseudogene, HLA-H, as well as the adjacent deteriorated class I pseudogene, 7.0 p.


HLA-J | HLA-G | PMID: 1602142 | 1992 Jun 15;148(12):4043-53. HLA-J, a second inactivated class I HLA gene related to HLA-G and HLA-A. Implications for the evolution of the HLA-A-related genes. Messer G(1), Zemmour J, Orr HT, Parham P, Weiss EH, Girdlestone J. Author information: (1)Institut für Immunologie, Universität München, F.


HLA-J | HLA-A | PMID: 1602142 | 1992 Jun 15;148(12):4043-53. HLA-J, a second inactivated class I HLA gene related to HLA-G and HLA-A. Implications for the evolution of the HLA-A-related genes. Messer G(1), Zemmour J, Orr HT, Parham P, Weiss EH, Girdlestone J. Author information: (1)Institut für Immunologie, Universität München, F.


HLA-J | HLA-A | PMID: 1602142 | G. Ragoussis and co-workers (Genomics 4:301) previously described a class I HLA gene (now designated HLA-J) that maps to within 50 kb of HLA-A. The nucleotide sequences of three HLA-J alleles are reported here.


HLA-J | HLA-G | PMID: 1602142 | The nucleotide sequences of three HLA-J alleles are reported here. Comparison of the nucleotide sequences of HLA-J alleles shows this gene is more related to HLA-G, A, and H than to HLA-B, C, E, and F. All four alleles of HLA-J are pseudogenes because of deleterious mutations that produce translation termination either in exon 2 or exon 4.


HLA-J | HLA-B | PMID: 1602142 | Comparison of the nucleotide sequences of HLA-J alleles shows this gene is more related to HLA-G, A, and H than to HLA-B, C, E, and F. All four alleles of HLA-J are pseudogenes because of deleterious mutations that produce translation termination either in exon 2 or exon 4. Apart from these mutations, the predicted proteins have structures similar to those of HLA-A, B, and C molecules.


HLA-H | HLA-A | PMID: 1602142 | There is, however, little polymorphism at HLA-J and none at functional positions of the Ag-recognition site. The polymorphism is less than found for HLA-H another HLA-A-related pseudogene. HLA-J appears, like HLA-H, to be an inactivated gene that result from duplication of an Ag-presenting locus related to HLA-A.


CSTP2 | CST5 | PMID: 1334620 | The CST4 clone contained the gene coding for the precursor form(141 amino acids) of cystatin S, and its exon-intron organization is the same as that of other members (the cystatin SN gene at the CST1 locus, the cystatin SA gene at the CST2 locus, the cystatin C gene at the CST3 locus and a cystatin pseudogene at the CSTP1 locus). The second cystatin pseudogene was elucidated in the clone, CST5, and it was assigned to the CSTP2 locus. Alignment of DNA sequences of cystatin genes with other genes suggested that the genes for cystatins, kininogens, and Bowman-Birk type inhibitors have evolved from an ancient ribonuclease-like gene. PMID: 1334620  [Indexed for MEDLINE] 6441.


HLA-H | HLA-B | PMID: 2294403 | A portion of this RNA begins at the transcription site predicted by analogy to certain class I cDNA clones, while another portion appears to begin shortly upstream. L cells transfected with a hybrid gene containing the first three exons of HLA-H and the last five exons of HLA-B27 accumulated full-length HLA transcripts at the same level as cells transfected with an HLA-B27 gene; both levels are at least 15- to 20-fold higher than that directed by HLA-H alone. In addition, we isolated a cDNA clone for HLA-H that contains a portion of intron 3 attached to a normally spliced sequence comprising exons 4 through 8.


MT2P1 | HP | PMID: 2873080 | In an earlier paper, positive but nonsignificant lod scores were found in pair-wise linkage tests between multiple endocrine neoplasia type 2A (MEN-2A) and both the haptoglobin (HP) locus on chromosome 16 and group-specific component (GC) locus on chromosome 4. Recently discovered restriction fragment length polymorphisms for HP and for metallothionein 2 processed pseudogene 1 (MT2P1) near GC have made it possible to carry out a more powerful set of linkage tests with MEN-2A. This paper reports the results of such linkage analyses employing both pair-wise and multipoint tests.


MT2P1 | GC | PMID: 2873080 | Close linkage of HP on chromosome 16 and MEN-2A is excluded. Linkage of MEN-2A on chromosome 4 with GC is excluded on the MT2P1 side of GC in a 7-centimorgan interval around MT2P1. DOI: 10.

